source_id,row_number,reason
crowdsourcing_aggregated,1,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,2,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,3,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,4,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,5,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,6,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,7,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,8,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,9,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,10,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,11,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,12,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,13,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,14,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,15,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,16,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,17,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,18,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,19,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,20,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,21,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,22,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,23,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,24,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,25,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,26,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,27,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,28,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,29,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,30,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,31,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,32,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,33,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,34,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,35,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,36,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,37,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,38,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,39,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,40,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,41,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,42,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,43,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,44,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,45,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,46,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,47,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,48,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,49,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,50,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,51,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,52,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,53,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,54,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,55,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,56,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,57,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,58,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,59,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,60,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,61,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,62,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,63,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,64,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,65,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,66,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,67,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,68,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,69,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,70,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,71,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,72,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,73,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,74,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,75,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,76,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,77,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,78,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,79,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,80,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,81,nulo_obligatorio:tipo_via
crowdsourcing_aggregated,82,nulo_obligatorio:tipo_via
