timestamp,avenida,velocidad,densidad,detenciones,temperatura,viento,hora,dia_semana,velocidad_norm,densidad_norm,detenciones_norm,speed_congestion,tsi,dbscan_cluster,dbscan_is_noise,dbscan_cluster_label
2026-03-20 02:20:00,Simulada_ZMG,75.0,1.37,0,25.1,12.2,2,4,1.0,0.185,0.0,0.0,0.0925,-1,True,noise
2026-03-20 06:20:00,Simulada_ZMG,39.69,1.24,1,25.1,12.2,6,4,0.4955714285714285,0.12,0.25,0.5044285714285714,0.2359,-1,True,noise
2026-03-20 06:25:00,Simulada_ZMG,30.75,1.0,0,25.1,12.2,6,4,0.3678571428571429,0.0,0.0,0.6321428571428571,0.1264,-1,True,noise
2026-03-20 07:50:00,Simulada_ZMG,22.43,2.87,3,25.1,12.2,7,4,0.249,0.935,0.75,0.751,0.8427,-1,True,noise
2026-03-20 08:35:00,Simulada_ZMG,9.0,2.73,1,25.1,12.2,8,4,0.0571428571428571,0.865,0.25,0.9428571428571428,0.6961,-1,True,noise
2026-03-20 11:30:00,Simulada_ZMG,31.27,2.33,0,25.1,12.2,11,4,0.3752857142857143,0.665,0.0,0.6247142857142858,0.4574,-1,True,noise
2026-03-20 11:40:00,Simulada_ZMG,30.64,2.15,0,25.1,12.2,11,4,0.3662857142857142,0.575,0.0,0.6337142857142857,0.4142,-1,True,noise
2026-03-20 11:45:00,Simulada_ZMG,45.99,2.0,0,25.1,12.2,11,4,0.5855714285714286,0.5,0.0,0.4144285714285713,0.3329,-1,True,noise
2026-03-20 11:55:00,Simulada_ZMG,29.98,1.35,1,25.1,12.2,11,4,0.3568571428571429,0.175,0.25,0.6431428571428571,0.2911,-1,True,noise
2026-03-20 13:15:00,Simulada_ZMG,30.93,1.31,0,25.1,12.2,13,4,0.3704285714285714,0.155,0.0,0.6295714285714286,0.2034,-1,True,noise
2026-03-20 13:35:00,Simulada_ZMG,35.76,2.26,0,25.1,12.2,13,4,0.4394285714285714,0.6299999999999999,0.0,0.5605714285714286,0.4271,-1,True,noise
2026-03-20 14:00:00,Simulada_ZMG,29.14,2.38,0,25.1,12.2,14,4,0.3448571428571428,0.69,0.0,0.6551428571428571,0.476,-1,True,noise
2026-03-20 14:35:00,Simulada_ZMG,50.54,1.33,2,25.1,12.2,14,4,0.6505714285714286,0.165,0.5,0.3494285714285714,0.3024,-1,True,noise
2026-03-20 15:00:00,Simulada_ZMG,47.26,1.63,2,25.1,12.2,15,4,0.6037142857142856,0.3149999999999999,0.5,0.3962857142857143,0.3868,-1,True,noise
2026-03-20 15:45:00,Simulada_ZMG,43.96,2.06,1,25.1,12.2,15,4,0.5565714285714286,0.53,0.25,0.4434285714285714,0.4287,-1,True,noise
2026-03-20 16:20:00,Simulada_ZMG,40.59,2.43,0,25.1,12.2,16,4,0.5084285714285715,0.7150000000000001,0.0,0.4915714285714285,0.4558,-1,True,noise
2026-03-20 16:35:00,Simulada_ZMG,22.34,1.5,2,25.1,12.2,16,4,0.2477142857142857,0.25,0.5,0.7522857142857142,0.4255,-1,True,noise
2026-03-20 16:55:00,Simulada_ZMG,28.84,2.29,0,25.1,12.2,16,4,0.3405714285714286,0.645,0.0,0.6594285714285715,0.4544,-1,True,noise
2026-03-20 17:55:00,Simulada_ZMG,43.98,2.6,2,25.1,12.2,17,4,0.5568571428571428,0.8,0.5,0.4431428571428571,0.6386,-1,True,noise
2026-03-20 18:00:00,Simulada_ZMG,20.57,3.0,3,25.1,12.2,18,4,0.2224285714285714,1.0,0.75,0.7775714285714286,0.8805,-1,True,noise
2026-03-20 18:40:00,Simulada_ZMG,22.02,2.15,2,25.1,12.2,18,4,0.2431428571428571,0.575,0.5,0.7568571428571429,0.5889,-1,True,noise
2026-03-20 18:45:00,Simulada_ZMG,5.0,2.23,1,25.1,12.2,18,4,0.0,0.615,0.25,1.0,0.5825,-1,True,noise
2026-03-20 19:05:00,Simulada_ZMG,8.28,2.52,1,25.1,12.2,19,4,0.0468571428571428,0.76,0.25,0.9531428571428572,0.6456,-1,True,noise
2026-03-20 19:40:00,Simulada_ZMG,16.61,3.0,3,25.1,12.2,19,4,0.1658571428571428,1.0,0.75,0.8341428571428572,0.8918,-1,True,noise
2026-03-20 19:45:00,Simulada_ZMG,29.23,2.74,2,25.1,12.2,19,4,0.3461428571428571,0.8700000000000001,0.5,0.6538571428571429,0.7158,-1,True,noise
2026-03-20 20:45:00,Simulada_ZMG,11.9,2.96,3,25.1,12.2,20,4,0.0985714285714285,0.98,0.75,0.9014285714285716,0.8953,-1,True,noise
