timestamp,avenida,velocidad,densidad,detenciones,temperatura,viento,hora,dia_semana,velocidad_norm,densidad_norm,detenciones_norm,speed_congestion,tsi,lof_label,lof_score,lof_is_anomaly
2026-03-20 00:10:00,Simulada_ZMG,68.4,1.02,1,25.1,12.2,0,4,0.9057142857142858,0.01,0.25,0.0942857142857142,0.0989,-1,1.5716598981669823,True
2026-03-20 00:20:00,Simulada_ZMG,65.95,1.25,1,25.1,12.2,0,4,0.8707142857142858,0.125,0.25,0.1292857142857142,0.1634,-1,1.264961227211471,True
2026-03-20 01:30:00,Simulada_ZMG,49.43,1.62,1,25.1,12.2,1,4,0.6347142857142857,0.31,0.25,0.3652857142857143,0.3031,-1,1.296228652278518,True
2026-03-20 01:55:00,Simulada_ZMG,45.1,1.06,1,25.1,12.2,1,4,0.5728571428571428,0.03,0.25,0.4271428571428571,0.1754,-1,1.2604989006910763,True
2026-03-20 02:20:00,Simulada_ZMG,75.0,1.37,0,25.1,12.2,2,4,1.0,0.185,0.0,0.0,0.0925,-1,1.6120432206426127,True
2026-03-20 02:25:00,Simulada_ZMG,63.6,1.66,1,25.1,12.2,2,4,0.8371428571428572,0.3299999999999999,0.25,0.1628571428571428,0.2726,-1,1.6477237657373762,True
2026-03-20 03:55:00,Simulada_ZMG,65.32,1.14,1,25.1,12.2,3,4,0.8617142857142857,0.0699999999999999,0.25,0.1382857142857143,0.1377,-1,1.2626149813761236,True
2026-03-20 04:45:00,Simulada_ZMG,38.03,1.09,0,25.1,12.2,4,4,0.4718571428571428,0.045,0.0,0.5281428571428571,0.1281,-1,1.34206800623806,True
2026-03-20 05:40:00,Simulada_ZMG,50.26,1.62,1,25.1,12.2,5,4,0.6465714285714286,0.31,0.25,0.3534285714285714,0.3007,-1,1.316600796827701,True
2026-03-20 05:55:00,Simulada_ZMG,37.55,1.17,0,25.1,12.2,5,4,0.4649999999999999,0.0849999999999999,0.0,0.535,0.1495,-1,1.2282215429475623,True
2026-03-20 06:15:00,Simulada_ZMG,64.29,1.52,1,25.1,12.2,6,4,0.8470000000000001,0.26,0.25,0.1529999999999999,0.2356,-1,1.3544083607318134,True
2026-03-20 06:20:00,Simulada_ZMG,39.69,1.24,1,25.1,12.2,6,4,0.4955714285714285,0.12,0.25,0.5044285714285714,0.2359,-1,1.4567984251045096,True
2026-03-20 06:25:00,Simulada_ZMG,30.75,1.0,0,25.1,12.2,6,4,0.3678571428571429,0.0,0.0,0.6321428571428571,0.1264,-1,1.4312539244797928,True
2026-03-20 10:05:00,Simulada_ZMG,48.54,1.65,1,25.1,12.2,10,4,0.622,0.3249999999999999,0.25,0.378,0.3131,-1,1.2751457332378204,True
2026-03-20 14:35:00,Simulada_ZMG,50.54,1.33,2,25.1,12.2,14,4,0.6505714285714286,0.165,0.5,0.3494285714285714,0.3024,-1,1.9807098549408824,True
2026-03-20 15:00:00,Simulada_ZMG,47.26,1.63,2,25.1,12.2,15,4,0.6037142857142856,0.3149999999999999,0.5,0.3962857142857143,0.3868,-1,1.2405567690848187,True
2026-03-20 16:35:00,Simulada_ZMG,22.34,1.5,2,25.1,12.2,16,4,0.2477142857142857,0.25,0.5,0.7522857142857142,0.4255,-1,1.3276040297313187,True
2026-03-20 17:55:00,Simulada_ZMG,43.98,2.6,2,25.1,12.2,17,4,0.5568571428571428,0.8,0.5,0.4431428571428571,0.6386,-1,1.6539906396275312,True
2026-03-20 18:45:00,Simulada_ZMG,5.0,2.23,1,25.1,12.2,18,4,0.0,0.615,0.25,1.0,0.5825,-1,1.3676447813652346,True
2026-03-20 21:10:00,Simulada_ZMG,67.25,1.0,1,25.1,12.2,21,4,0.8892857142857142,0.0,0.25,0.1107142857142857,0.0971,-1,1.4877798475872974,True
2026-03-20 21:35:00,Simulada_ZMG,65.43,1.05,1,25.1,12.2,21,4,0.8632857142857144,0.025,0.25,0.1367142857142855,0.1148,-1,1.288955359450324,True
2026-03-20 21:40:00,Simulada_ZMG,61.36,1.66,0,25.1,12.2,21,4,0.8051428571428572,0.3299999999999999,0.0,0.1948571428571428,0.204,-1,1.2475008787716368,True
2026-03-20 21:55:00,Simulada_ZMG,40.02,1.0,1,25.1,12.2,21,4,0.5002857142857143,0.0,0.25,0.4997142857142856,0.1749,-1,1.5935079358888593,True
